assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Harborchase,Harborchase,Palm Harbor,Pinellas,28.0665,-82.7302,128,3,4,3500,22,0,0,19,1,2
Edad De Oro Senior Care Inc,Edad De Oro Senior Care,Miami,Miami-Dade,25.8218,-80.3324,6,1,2,3250,4,0,1,3,0,0
Eden Manor,Eden Manor,Orlando,Orange,28.613,-81.4455,6,0,3,3175,25,0,0,20,4,1
Brookdale Jensen Beach,Brookdale Jensen Beach,Jensen Beach,Martin,27.2242,-80.214,165,3,7,3025,11,0,0,11,0,0
Wickshire Tamarac,Wickshire Tamarac,Tamarac,Broward,26.2167,-80.2517,127,2,6,3000,15,0,0,11,3,1
"Alfonso'S Alf, Inc",ALFonso'S ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,5,3000,17,0,2,13,2,0
Renacer Home Care Corp,Renacer Home Care Corp,Hialeah,Miami-Dade,25.8184,-80.2681,6,0,1,3000,4,0,1,3,0,0
Treasure Care Assisted Living Llc,Treasure Care Assisted Living,Tamarac,Broward,26.1954,-80.2708,6,0,3,3000,18,0,0,18,0,0
La Rosa Alf Inc,La Rosa ALF,Hialeah,Miami-Dade,25.8599,-80.283,6,0,4,3000,35,0,1,33,1,0
Mi Nueva Vida Alf Inc,Mi Nueva Vida ALF,Miami,Miami-Dade,25.7485,-80.3145,12,1,1,3000,17,0,1,15,0,1
Grandad Elderly Corp,Grandad Elderly Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,2,3000,7,0,0,5,0,2
"Amanecer Home Alf, Llc",Amanecer Home ALF,Miami,Miami-Dade,25.7228,-80.3788,6,0,1,3000,4,0,1,3,0,0
"Salus Beachside, Llc",Salus Beachside,Indian Harbor Beach,Brevard,28.1511,-80.5929,8,1,3,3000,23,0,0,20,3,0
Zon Beachside Llc,Zon Beachside,Indian Harbor Beach,Brevard,28.152,-80.6007,130,1,3,3000,26,0,1,23,0,2
Brookdale West Melbourne,Brookdale West Melbourne,Melbourne,Brevard,28.0937,-80.6751,55,0,2,3000,27,0,0,20,5,2
"Pampered Parents, Alf, Inc",Pampered Parents ALF,Palm Coast,Flagler,29.4198,-81.1689,5,0,3,3000,13,0,0,13,0,0
Best Care Senior Living At Winter Haven,Best Care Senior Living At Winter Haven,Winter Haven,Polk,28.0214,-81.6961,66,9,4,3000,20,0,0,17,2,1
Brookdale Fort Myers Cypress Lake,Brookdale Fort Myers Cypress Lake,Fort Myers,Lee,26.547,-81.8823,190,3,3,3000,5,0,0,4,1,0
Village Veranda At Lady Lake,Village Veranda At Lady Lake,Lady Lake,Lake,28.8958,-81.9076,145,3,1,3000,4,0,1,3,0,0
Best Care Senior Living At Heritage Manor,Best Care Senior Living At Heritage Manor,Tampa,Hillsborough,28.0662,-82.4382,40,10,1,3000,22,0,0,22,0,0
Colonial Assisted Living At Tampa Fl,Colonial Assisted Living At Tampa Fl,,Hillsborough,28.0562,-82.4413,90,3,2,3000,2,0,1,1,0,0
Villas Of Casa Celeste (The),Villas Of Casa Celeste (The),Seminole,Pinellas,27.8477,-82.7668,100,8,4,3000,19,0,0,17,2,0
The Goldton At St. Petersburg,The Goldton At St. Petersburg,Saint Petersburg,Pinellas,27.8087,-82.7318,105,7,7,2875,29,0,0,26,2,1
Imperial Club,Imperial Club,Aventura,Miami-Dade,25.9456,-80.1455,51,16,2,2800,27,0,3,21,3,0
Buenaventura Assisted Living Facility Llc,Buenaventura Assisted Living Facility,Kissimmee,Osceola,28.3211,-81.3576,8,0,3,2800,21,0,0,21,0,0
"Sunny Days Retirement Home, Inc",Sunny Days Retirement Home,Apopka,Orange,28.6543,-81.4659,6,0,4,2800,17,0,0,13,4,0
American House Fort Myers,American House Fort Myers,Fort Myers,Lee,26.5386,-81.8522,143,13,2,2800,19,0,0,16,2,1
Magnolia Manor Inc,Magnolia Manor,Clearwater,Pinellas,27.9559,-82.7963,32,3,4,2800,18,0,1,16,1,0
Legacy Alf Llc,Legacy ALF,Miami,Miami-Dade,25.7985,-80.1946,6,1,5,2750,12,0,0,11,1,0
Maggie'S Retirement Home,Maggie'S Retirement Home,Miami,Miami-Dade,25.7595,-80.325,22,0,1,2750,21,0,1,17,1,2
Maggie'S Retirement Home #4,Maggie'S Retirement Home #4,Miami,Miami-Dade,25.7595,-80.325,14,2,3,2750,25,0,1,23,1,0
Aventura Bay Place Llc,Aventura Bay Place,Saint Petersburg,Pinellas,27.8676,-82.6416,105,1,4,2750,18,0,1,15,1,1
Highpoint At Cape Coral,Highpoint At Cape Coral,Cape Coral,Lee,26.6181,-81.9372,110,3,1,2748.31,4,0,0,3,1,0
"A Lovely Home Care By Gt, Inc",A Lovely Home Care By Gt,Miami,Miami-Dade,25.8172,-80.325,6,0,3,2725,11,0,0,9,0,2
Orchard Park At Deerfield Corp (Dba Treemont On The Park),Orchard Park At Deerfield Corp (Dba Treemont On The Park),Oakland Park,Broward,26.1747,-80.1428,34,0,2,2675,22,0,0,16,3,3
Midway Retirement Residence,Midway Retirement Residence,Miami,Miami-Dade,25.769,-80.3252,12,0,4,2625,18,0,0,16,2,0
Family Traditions Llc,Family Traditions,Venice,Sarasota,27.0747,-82.4155,6,0,3,2622.25,10,0,0,10,0,0
Rustic Retreat,Rustic Retreat,Boynton Beach,Palm Beach,26.537,-80.0571,30,1,3,2600,9,0,0,6,1,2
Lee Residence,Lee Residence,West Palm Beach,Palm Beach,26.6739,-80.1412,6,1,2,2600,11,0,0,7,2,2
"Aging World Alf, Llc",Aging World ALF,Miami,Miami-Dade,25.7732,-80.1879,6,1,2,2600,17,0,1,15,1,0
Ana'S Elderly Care Inc,Ana'S Elderly Care,Miami,Miami-Dade,25.7647,-80.2514,6,1,3,2575,9,0,1,6,1,1
Brookdale St Augustine,Brookdale St Augustine,Saint Augustine,St. Johns,29.8117,-81.3239,115,1,6,2550,2,0,0,2,0,0
The Baybrook At Largo,The Baybrook At Largo,Largo,Pinellas,27.9101,-82.763,143,10,7,2550,5,0,1,3,0,1
Tequesta Terrace,Tequesta Terrace,Tequesta,Palm Beach,26.9647,-80.0859,106,2,4,2500,11,0,0,8,1,2
Cozy Care Residence Alf Llc,Cozy Care Residence ALF,North Miami,Miami-Dade,25.9005,-80.1761,6,1,2,2500,18,0,2,15,0,1
Villa Serena Vii,Villa Serena Vii,Miami,Miami-Dade,25.7458,-80.2481,12,3,5,2500,32,0,0,29,3,0
Villa Esmeralda Alf,Villa Esmeralda ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,4,2500,12,0,1,11,0,0
Lourdes Residence Inc,Lourdes Residence,Miami,Miami-Dade,25.6935,-80.2821,6,1,1,2500,24,0,2,21,1,0
Merry One Alf,Merry One ALF,Miami,Miami-Dade,25.7573,-80.4243,6,3,4,2500,23,0,1,21,1,0
Ormond In The Pines,Ormond In The Pines,Ormond Beach,Volusia,29.2703,-81.0938,95,2,2,2500,11,0,0,11,0,0
Grand Villa Of Deland,Grand Villa Of Deland,Deland,Volusia,29.0539,-81.2984,170,3,5,2500,2,0,1,1,0,0
Serenity Villa Alf Llc,Serenity Villa ALF,Orlando,Orange,28.5653,-81.3266,6,0,3,2500,12,0,0,8,4,0
Brookdale Cape Coral,Brookdale Cape Coral,Cape Coral,Lee,26.6258,-81.9569,50,0,3,2500,4,0,0,1,2,1
Ansley Parke At Oakbridge Llc,Ansley Parke At Oakbridge,Lakeland,Polk,28.0084,-81.9741,110,0,7,2500,4,0,0,3,1,0
Las Mercedes Family Home Inc,Las Mercedes Family Home,Tampa,Hillsborough,28.0527,-82.4539,6,2,2,2500,14,0,0,12,1,1
Brookdale Bayshore,Brookdale Bayshore,Tampa,Hillsborough,27.8934,-82.4861,190,0,11,2500,14,0,0,12,0,2
Ashton Place Corp,Ashton Place Corp,Sarasota,Sarasota,27.2776,-82.4863,44,1,2,2500,7,0,0,6,1,0
Heron Club At Prestancia The,Heron Club At Prestancia The,Sarasota,Sarasota,27.2375,-82.4905,100,5,6,2500,26,0,0,22,2,2
Arbor Terrace Citrus Park,Arbor Terrace Citrus Park,Tampa,Hillsborough,28.0763,-82.58,125,5,3,2500,14,0,0,12,2,0
Amelia'S House,Amelia'S House,Pinellas Park,Pinellas,27.8377,-82.7058,15,2,3,2500,2,0,0,2,0,0
Glade Garden Inc,Glade Garden,Pinellas Park,Pinellas,27.8543,-82.7138,6,0,2,2500,7,0,0,7,0,0
Integrity Group Home Corporation,Integrity Group Home Corporation,Miami,Miami-Dade,25.7938,-80.3396,6,1,4,2300,18,0,0,17,1,0
"Hannah'S Home, Llc",Hannah'S Home,Palm Bay,Brevard,28.0172,-80.7064,5,0,4,2300,15,0,0,15,0,0
Mary'S Extreme Care,Mary'S Extreme Care,Miramar,Broward,25.9872,-80.2093,10,1,2,2250,18,0,0,10,8,0
Hostal Nostalgia Alf,Hostal Nostalgia ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,4,2250,6,0,0,5,0,1
"Norita Adult Family Care, Inc.",Norita Adult Family Care.,Miami,Miami-Dade,25.6591,-80.3895,6,0,2,2250,16,0,0,15,1,0
Savannah Court Of Orange City,Savannah Court Of Orange City,Orange City,Volusia,28.9312,-81.2972,45,5,3,2250,26,0,0,26,0,0
New Era,New Era,Lakeland,Polk,28.1215,-81.9702,60,3,4,2250,9,0,1,8,0,0
Twin Brooks By Daytona Assisted Living,Twin Brooks By Daytona Assisted Living,Ormond Beach,Volusia,29.2502,-81.0729,6,0,3,2200,4,0,0,4,0,0
Vick Street Manor,Vick Street Manor,Port Charlotte,Charlotte,26.9659,-82.0788,87,3,2,2200,8,0,0,7,0,1
St Augustine Plantation,St Augustine Plantation,Tallahassee,Leon,30.4219,-84.2367,115,2,5,2125,10,0,0,9,0,1
The Carlisle Assisted Living And Memory Care,The Carlisle Assisted Living And Memory Care,Lantana,Palm Beach,26.5846,-80.0402,175,2,6,2000,15,0,0,13,0,2
Victoria Gardens Alf,Victoria Gardens ALF,Riviera Beach,Palm Beach,26.7699,-80.0638,18,1,4,2000,17,0,0,15,2,0
"Moore Care Assisted Living Facility, Llc",Moore Care Assisted Living Facility,Riviera Beach,Palm Beach,26.7883,-80.0742,10,0,1,2000,8,0,0,6,2,0
Arden Courts (West Palm Beach),Arden Courts (West Palm Beach),West Palm Beach,Palm Beach,26.7322,-80.0925,56,2,6,2000,6,0,0,4,2,0
Cayman Circle Adult Family Care,Cayman Circle Adult Family Care,,Palm Beach,26.4704,-80.1133,5,0,2,2000,21,0,0,16,2,3
Argo Senior Living At Haverhill,Argo Senior Living At Haverhill,West Palm Beach,Palm Beach,26.7207,-80.1189,38,0,3,2000,10,0,0,7,2,1
"The Elite Manor, Inc",The Elite Manor,Boca Raton,Palm Beach,26.3441,-80.1815,6,0,2,2000,2,0,0,1,0,1
Westwood Boarding Home Aclf,Westwood Boarding Home Aclf,Miami,Miami-Dade,25.7906,-80.2009,11,2,3,2000,17,0,0,17,0,0
Jarc-Rales Campus,Jarc-Rales Campus,Boca Raton,Palm Beach,26.3926,-80.2014,32,0,1,2000,9,0,0,8,0,1
Orange Blossoms Villa,Orange Blossoms Villa,Royal Plm Bch,Palm Beach,26.6945,-80.2069,6,0,4,2000,10,0,0,9,1,0
Cassie'S Castle,Cassie'S Castle,,Palm Beach,26.7175,-80.2242,6,0,2,2000,21,0,0,14,2,5
"Macarena Assisted Living Facility, Inc",Macarena Assisted Living Facility,Miami,Miami-Dade,25.7772,-80.2499,6,0,3,2000,9,0,0,9,0,0
Leeward Isle Homes Llc,Leeward Isle Homes,Pembroke Pines,Broward,26.0151,-80.2576,6,0,3,2000,6,0,0,4,0,2
Residencia Casabella Alf Corp,Residencia Casabella ALF Corp,Hialeah,Miami-Dade,25.9506,-80.337,6,1,1,2000,14,0,1,12,0,1
Harmony Family Home Care,Harmony Family Home Care,Cutler Bay,Miami-Dade,25.5737,-80.341,6,0,3,2000,10,0,1,9,0,0
"Casa De Paz Alf, Inc",Casa De Paz ALF,,Miami-Dade,25.7469,-80.3472,6,0,3,2000,19,0,0,16,2,1
"United Wellness Alf, Llc",United Wellness ALF,Miami,Miami-Dade,25.7443,-80.352,6,0,3,2000,11,0,0,10,1,0
Always Loving Family Corp,Always Loving Family Corp,Miami,Miami-Dade,25.7244,-80.439,6,0,3,2000,22,0,1,18,0,3
Above The Rest Assisted Living Facility,Above The Rest Assisted Living Facility,Palm Bay,Brevard,27.9362,-80.6258,10,0,3,2000,20,0,0,17,3,0
Blue Fountain Ii Home Care Llc,Blue Fountain Ii Home Care,Palm Bay,Brevard,27.9983,-80.6604,5,1,1,2000,16,0,0,14,2,0
Symphony At St Augustine,Symphony At St Augustine,Saint Augustine,St. Johns,29.9181,-81.3576,74,6,2,2000,17,0,0,17,0,0
All Seasons In Naples Llc,All Seasons In Naples,Naples,Collier,26.311,-81.8037,102,5,1,2000,17,0,0,14,2,1
Grand Villa Of Lakeland,Grand Villa Of Lakeland,Lakeland,Polk,28.0726,-81.9526,95,1,4,2000,0,0,0,0,0,0
Cox Adult Living Facility,Cox Adult Living Facility,Plant City,Hillsborough,27.9391,-82.0878,12,2,2,2000,10,0,0,9,1,0
Sunshine Manor,Sunshine Manor,Plant City,Hillsborough,28.0551,-82.1384,8,1,2,2000,33,0,3,24,2,4
Stillwater Assisted Living Llc,Stillwater Assisted Living,Riverview,Hillsborough,27.8609,-82.2912,6,0,1,2000,14,0,1,13,0,0
Seacoast At Uptown Oaks,Seacoast At Uptown Oaks,Tampa,Hillsborough,28.0615,-82.4349,130,11,2,2000,16,0,0,13,0,3
Patrick Manor Inc,Patrick Manor,Saint Petersburg,Pinellas,27.8386,-82.6463,55,3,2,2000,14,0,0,14,0,0
Nurse'S Helping Hands Inc,Nurse'S Helping Hands,Pinellas Park,Pinellas,27.8377,-82.7363,50,3,4,2000,11,0,1,9,0,1
Sunset Harbor Assisted Living,Sunset Harbor Assisted Living,Tarpon Springs,Pinellas,28.1511,-82.7683,14,0,2,2000,0,0,0,0,0,0
Brookdale Hermitage Boulevard,Brookdale Hermitage Boulevard,Tallahassee,Leon,30.4914,-84.2484,60,0,5,2000,0,0,0,0,0,0
Grace Manor Suites Llc,Grace Manor Suites,Lakeland,Polk,28.1023,-81.9513,77,2,1,1952.01,7,0,0,7,0,0
Kelley Alf,Kelley ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,3,1900,11,0,0,10,0,1
"Sunflower'S Village Alf, Inc",Sunflower'S Village ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,2,1900,37,0,0,35,0,2
"Salmo 23 No. 2, Llc.",Salmo 23 No. 2.,Hialeah,Miami-Dade,25.8287,-80.2842,17,0,2,1900,0,0,0,0,0,0
"Plamar Home Care Services, Inc",Plamar Home Care Services,Miami,Miami-Dade,25.7238,-80.4575,6,0,1,1900,0,0,0,0,0,0
Lifestyle Living #1,Lifestyle Living #1,Hollywood,Broward,26.1061,-80.284,6,0,2,1875,5,0,0,2,2,1
Sophia Home Care Inc,Sophia Home Care,Miami,Miami-Dade,25.7694,-80.2869,6,0,4,1875,12,0,0,11,1,0
Prestige Care Aventura Llc,Prestige Care Aventura,Aventura,Miami-Dade,25.9595,-80.1496,6,2,3,1800,23,0,1,20,2,0
"Quality Care Assisted Living Facility, Inc.",Quality Care Assisted Living Facility.,Coral Springs,Broward,26.2526,-80.2621,6,0,3,1800,15,0,0,11,2,2
Aging Home Paradise Llc,Aging Home Paradise,Kissimmee,Osceola,28.3236,-81.369,6,1,3,1800,32,0,0,24,2,6
"Neurointernational Healthcare, Llc",Neurointernational Healthcare,Sarasota,Sarasota,27.3368,-82.5329,16,6,6,1800,8,0,0,5,2,1
"Atrium At Boca Raton, The",Atrium At Boca Raton The,Boca Raton,Palm Beach,26.3628,-80.108,160,6,9,1750,14,0,0,11,2,1
Caring Hands Assisted Living Ii,Caring Hands Assisted Living Ii,,Miami-Dade,25.8944,-80.2027,6,0,4,1750,20,0,0,17,1,2
"Paradise Adult Center, Inc.",Paradise Adult Center.,Hialeah,Miami-Dade,25.8825,-80.2935,6,0,2,1750,25,0,0,23,0,2
Cortez House Assisted Living Facility,Cortez House Assisted Living Facility,,Manatee,27.4741,-82.6118,16,1,2,1750,9,0,0,7,0,2
Parkside Inn,Parkside Inn,Boynton Beach,Palm Beach,26.5137,-80.0702,38,3,3,1700,17,0,0,12,2,3
The Colony Club Alf,The Colony Club ALF,Sunrise,Broward,26.1714,-80.2682,110,3,6,1700,17,0,0,14,3,0
Madison At Clermont,Madison At Clermont,Clermont,Lake,28.5475,-81.7475,100,2,5,1700,6,0,0,6,0,0
Amistad 308 Llc,Amistad 308,Miami,Miami-Dade,25.7336,-80.325,6,0,5,1650,16,0,0,15,1,0
Brookdale Canopy Oaks,Brookdale Canopy Oaks,Ocala,Marion,29.0912,-82.2536,120,3,5,1650,4,0,0,4,0,0
Brookdale Centre Pointe Boulevard,Brookdale Centre Pointe Boulevard,Tallahassee,Leon,30.4712,-84.2354,38,0,5,1650,4,0,0,4,0,0
"Dr Phillips Assisted Living Facility, Inc",Dr Phillips Assisted Living Facility,Orlando,Orange,28.5375,-81.3769,6,0,2,1625,9,0,0,8,0,1
St Francis Alf Of North Port,St Francis ALF Of North Port,North Port,Sarasota,27.0625,-82.2374,10,2,1,1624.8,15,0,0,14,0,1
Nightingale Manor Inc,Nightingale Manor,Miami Beach,Miami-Dade,25.7931,-80.1385,30,1,1,1600,12,0,2,10,0,0
Jorge'S Home Inc,Jorge'S Home,Miami,Miami-Dade,25.7511,-80.2221,6,0,2,1600,26,0,2,22,0,2
Angelina Alf Llc,Angelina ALF,Miami,Miami-Dade,25.7686,-80.2641,6,3,4,1600,17,0,1,14,0,2
La Paz Home Care Corp,La Paz Home Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,0,2,1600,13,0,1,9,1,2
Brentwood At Fore Ranch,Brentwood At Fore Ranch,Ocala,Marion,29.142,-82.2027,120,8,5,1600,13,0,0,13,0,0
"Rockwell Seniors, Inc",Rockwell Seniors,Boca Raton,Palm Beach,26.3678,-80.0763,6,0,3,1500,14,0,0,10,2,2
Home Away From Home,Home Away From Home,West Palm Beach,Palm Beach,26.7135,-80.1022,5,0,1,1500,23,0,0,22,1,0
"Marcia Adult Care #1, Inc",Marcia Adult Care #1,Miami,Miami-Dade,25.788,-80.1407,6,0,2,1500,9,0,0,7,0,2
Merriment Assisted Living Residence,Merriment Assisted Living Residence,Hollywood,Broward,26.0273,-80.1447,50,2,2,1500,6,0,0,4,1,1
"Orta'S Home, Inc",Orta'S Home,Miami,Miami-Dade,25.795,-80.1871,6,0,2,1500,12,0,1,9,1,1
Angela'S Care Inc,Angela'S Care,Miami,Miami-Dade,25.8111,-80.1914,6,0,1,1500,16,0,1,14,0,1
Maidelin Alf Inc,Maidelin ALF,Miami,Miami-Dade,25.7671,-80.2104,6,0,2,1500,10,0,0,8,2,0
First Choice Comfort Care Incorporated,First Choice Comfort Careorporated,Hollywood,Broward,26.0218,-80.2123,15,0,2,1500,10,0,0,5,5,0
Raffa Corp Ii,Raffa Corp Ii,Miami,Miami-Dade,25.7917,-80.214,6,0,3,1500,13,0,0,11,1,1
1 Kind Home Inc,1 Kind Home,Miami,Miami-Dade,25.7646,-80.2141,12,0,1,1500,15,0,2,13,0,0
Calvinelle West Alf Inc,Calvinelle West ALF,,Miami-Dade,25.8131,-80.2251,14,0,2,1500,24,0,1,23,0,0
Calvinelle Adult Home Alf #2,Calvinelle Adult Home ALF #2,,Miami-Dade,25.8183,-80.2261,10,1,2,1500,12,0,2,10,0,0
Colonial Assisted Living At Miami,Colonial Assisted Living At Miami,,Miami-Dade,25.9337,-80.2324,65,2,3,1500,14,0,0,13,0,1
Star Of Mary Adult Center,Star Of Mary Adult Center,Miami,Miami-Dade,25.7713,-80.236,6,1,1,1500,7,0,1,5,1,0
Alton Aclf Home,Alton Aclf Home,Miami,Miami-Dade,25.77,-80.2418,6,1,3,1500,16,0,0,16,0,0
Lago Place Inc,Lago Place,Miami,Miami-Dade,25.7755,-80.2636,6,1,2,1500,9,0,0,8,1,0
Sweet Heart Alf Inc,Sweet Heart ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,2,1500,27,0,0,24,2,1
"Villa Rosa Iii, Inc",Villa Rosa Iii,Hialeah,Miami-Dade,25.8295,-80.2852,48,2,3,1500,23,0,0,20,3,0
Rosie'S Place Alf,Rosie'S Place ALF,Port St Lucie,St. Lucie,27.2968,-80.2928,6,0,2,1500,5,0,0,4,1,0
"Angel House Assisted Living, Inc.",Angel House Assisted Living.,Pembroke Pines,Broward,26.0248,-80.2938,6,1,2,1500,7,0,0,4,1,2
Wickshire Port St Lucie,Wickshire Port St Lucie,Port St Lucie,St. Lucie,27.2845,-80.2983,120,0,3,1500,17,0,0,13,4,0
Alf Villa Francisco Home Care Corp,ALF Villa Francisco Home Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,0,1,1500,12,0,0,11,1,0
"Mi Arcoiris Family Care, Inc",Mi Arcoiris Family Care,Hialeah,Miami-Dade,25.8869,-80.3254,6,0,3,1500,2,0,1,1,0,0
"Angeles Senior Care, Inc",Angeles Senior Care,Miami,Miami-Dade,25.8218,-80.3324,6,1,2,1500,14,0,0,12,2,0
Troy & Greg Corp,Troy & Greg Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,2,1500,24,0,1,23,0,0
"Golden Girls Home, Inc",Golden Girls Home,Miami,Miami-Dade,25.6237,-80.3581,6,0,1,1500,1,0,0,1,0,0
Living Well Alf #1,Living Well ALF #1,Homestead,Miami-Dade,25.5425,-80.3639,6,0,3,1500,16,0,1,14,0,1
"Chanel Nursing Care Alf, Corp",Chanel Nursing Care ALF Corp,,Miami-Dade,25.5543,-80.3736,6,0,4,1500,5,0,0,5,0,0
The Perfect Place Alf 2 Inc,The Perfect Place ALF 2,Port Saint Lucie,St. Lucie,27.2287,-80.3933,5,0,2,1500,3,0,0,2,1,0
Superior Alf Inc,Superior ALF,Homestead,Miami-Dade,25.4989,-80.4308,6,0,3,1500,23,0,1,20,1,1
Our Family Assisted Living Facility Ii Inc,Our Family Assisted Living Facility Ii,Miami,Miami-Dade,25.7497,-80.4389,6,1,3,1500,6,0,0,5,0,1
Bedrock Care At Southern Life Assisted Living,Bedrock Care At Southern Life Assisted Living,Lake Placid,Highlands,27.325,-81.3709,97,4,2,1500,15,0,0,13,2,0
Ponte Vedra Gardens Alzheimer'S Special Care Center,Ponte Vedra Gardens Alzheimer'S Special Care Center,Ponte Vedra Beach,St. Johns,30.1858,-81.387,64,1,4,1500,2,0,0,2,0,0
Golden Retreat Of Naples Inc,Golden Retreat Of Naples,Naples,Collier,26.3376,-81.5347,6,0,1,1500,8,0,0,6,2,0
Discovery Village At Naples,Discovery Village At Naples,Naples,Collier,26.1076,-81.6893,150,4,10,1500,9,0,0,9,0,0
Beach House Assisted Living And Memory Care At Wiregrass Ranch,Beach House Assisted Living And Memory Care At Wiregrass Ranch,Wesley Chapel,Pasco,28.2012,-82.3214,110,3,1,1500,20,0,0,17,2,1
Immanuel At Ybor Assisted Living Facility,Immanuel At Ybor Assisted Living Facility,Tampa,Hillsborough,27.9602,-82.4448,19,1,3,1500,11,0,1,10,0,0
Comfort Care Alf Of Tampa Bay Inc,Comfort Care ALF Of Tampa Bay,,Hillsborough,27.9908,-82.4857,5,0,1,1500,11,0,0,8,3,0
Brookdale Spring Hill,Brookdale Spring Hill,Spring Hill,Hernando,28.4407,-82.5443,50,0,2,1500,3,0,0,3,0,0
Woodlands Village,Woodlands Village,Bradenton,Manatee,27.4592,-82.5516,75,6,4,1500,17,0,0,17,0,0
Brookdale Pointe West,Brookdale Pointe West,Bradenton,Manatee,27.4787,-82.6243,40,3,2,1500,2,0,0,2,0,0
Grand Villa Of Clearwater,Grand Villa Of Clearwater,Clearwater,Pinellas,27.9692,-82.7235,200,8,4,1500,1,0,0,1,0,0
Colonnade At Beckett Lake (The),Colonnade At Beckett Lake (The),,Pinellas,27.9931,-82.748,130,2,5,1500,28,0,0,25,2,1
Brookdale Tarpon Springs,Brookdale Tarpon Springs,Tarpon Springs,Pinellas,28.1293,-82.7582,80,5,4,1500,8,0,0,5,0,3
The Lakes Of Dunedin,The Lakes Of Dunedin,Dunedin,Pinellas,28.0153,-82.7763,120,4,3,1500,0,0,0,0,0,0
Happy Acres Assisted Living Facility Inc,Happy Acres Assisted Living Facility,Bonifay,Holmes,30.7936,-85.6872,56,2,2,1500,3,0,0,3,0,0
Brookdale Bluewater Bay,Brookdale Bluewater Bay,Niceville,Okaloosa,30.4878,-86.4183,50,0,3,1500,1,0,0,0,1,0
Brookdale Mandarin,Brookdale Mandarin,Jacksonville,Duval,30.1802,-81.6073,170,1,4,1450,3,0,0,3,0,0
Brookdale Tavares,Brookdale Tavares,Tavares,Lake,28.8171,-81.7043,60,1,3,1450,0,0,0,0,0,0
Vi At Lakeside Village,Vi At Lakeside Village,Lantana,Palm Beach,26.5814,-80.0849,60,0,1,1400,1,0,0,0,0,1
"Mgr Home, Inc",Mgr Home,Miami,Miami-Dade,25.8111,-80.3306,6,0,2,1400,10,0,0,9,0,1
Alsina Corporation,Alsina Corporation,Miami,Miami-Dade,25.7938,-80.3396,6,1,1,1400,8,0,0,8,0,0
American Life Adult Care Center Inc,American Life Adult Care Center,Miami Lakes,Miami-Dade,25.9274,-80.3446,6,0,3,1400,4,0,0,4,0,0
A Loving Hand Facility Care Llc,A Loving Hand Facility Care,Port Saint Lucie,St. Lucie,27.3228,-80.3636,6,0,2,1400,15,0,0,8,2,5
Park Summit At Coral Springs,Park Summit At Coral Springs,Coral Springs,Broward,26.2583,-80.2404,72,1,6,1350,16,0,0,16,0,0
"Amor De Jesus, Corp",Amor De Jesus Corp,Miami,Miami-Dade,25.771,-80.2634,6,0,3,1325,13,0,0,13,0,0
"Love & Peace Alf, Llc",Love & Peace ALF,Miami,Miami-Dade,25.7739,-80.195,6,0,2,1300,11,0,0,9,0,2
"Our Loving Mother Elderly Care, Inc.",Our Loving Mother Elderly Care.,Hialeah,Miami-Dade,25.8827,-80.3163,6,0,5,1300,22,0,0,21,1,0
"Home For All The Angels, Corp",Home For All The Angels Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,3,1300,9,0,0,9,0,0
Living Well Alf #2,Living Well ALF #2,Cutler Bay,Miami-Dade,25.5695,-80.349,6,0,3,1300,16,0,0,14,0,2
Savorah Alf Ii Llc,Savorah ALF Ii,Port Saint Lucie,St. Lucie,27.2682,-80.357,6,1,2,1300,12,0,0,9,2,1
Waterside Landing,Waterside Landing,Margate,Broward,26.2402,-80.2009,213,0,4,1275,4,0,0,1,1,2
"Ana'S Family Home Alf, Inc.",Ana'S Family Home ALF.,Miami,Miami-Dade,25.7686,-80.2641,6,0,2,1275,6,0,0,4,0,2
Everlasting Family Home Care Services Ii Llc,Everlasting Family Home Care Services Ii,Royal Palm Beach,Palm Beach,26.7212,-80.2214,6,0,2,1250,15,0,0,12,3,0
Mp Diversified Services Corp,Mp Diversified Services Corp,Miami,Miami-Dade,25.7954,-80.2407,6,0,2,1250,5,0,1,4,0,0
Mama Llama Llc,Mama Llama,Wellington,Palm Beach,26.6662,-80.2658,21,1,3,1250,13,0,0,11,2,0
"Assisted Living Of Broward, Inc.",Assisted Living Of Broward.,Pembroke Pines,Broward,25.9972,-80.3834,6,0,4,1250,5,0,0,3,1,1
"Gentle Care Assisted Living, Inc.",Gentle Care Assisted Living.,Palm Coast,Flagler,29.554,-81.2039,6,0,4,1250,5,0,0,5,0,0
