nursing_home,nursing_home_label,city,region,county,latitude,longitude,overall_inspection,quality_of_care,quality_of_life,administration,nutrition_and_hydration,restraints_and_abuse,pressure_ulcers,decline,dignity
Bear Creek Nursing Center,Bear Creek Nursing Center,Hudson,Region 5,Pasco,28.332025,-82.68132,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bedrock Rehabilitation And Nursing Center At Lake City,Bedrock Rehabilitation And Nursing Center At Lake City,Lake City,Region 3,Columbia,30.1862678,-82.7174491,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bedrock Rehabilitation And Nursing Center At Lake Eustis,Bedrock Rehabilitation And Nursing Center At Lake Eustis,Eustis,Region 3,Lake,28.8477607,-81.6903432,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bedrock Rehabilitation And Nursing Center At Melbourne,Bedrock Rehabilitation And Nursing Center At Melbourne,Melbourne,Region 7,Brevard,28.0867335,-80.6127845,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bedrock Rehabilitation And Nursing Center At Winter Park,Bedrock Rehabilitation And Nursing Center At Winter Park,Maitland,Region 7,Orange,28.6111,-81.3706176,_____,_____,_____,_____,_____,_____,_____,_____,_____
Belleair Health Care Center,Belleair Health Care Center,Clearwater,Region 5,Pinellas,27.9360334,-82.7985849,_____,_____,_____,_____,_____,_____,_____,_____,_____
Benderson Family Skilled Nursing And Rehabilitation Center,Benderson Family Skilled Nursing And Rehabilitation Center,Sarasota,Region 8,Sarasota,27.3537957,-82.4658821,_____,_____,_____,_____,_____,_____,_____,_____,_____
Beneva Lakes Healthcare And Rehabilitation Center,Beneva Lakes Healthcare And Rehabilitation Center,Sarasota,Region 8,Sarasota,27.327976,-82.49547,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bentley Care Center,Bentley Care Center,Naples,Region 8,Collier,26.3068647,-81.805503,_____,_____,_____,_____,_____,_____,_____,_____,_____
Biscayne Health And Rehabilitation Center,Biscayne Health And Rehabilitation Center,North Miami,Region 11,Miami-Dade,25.8918543,-80.1659666,_____,_____,_____,_____,_____,_____,_____,_____,_____
Boca Raton Rehabilitation Center,Boca Raton Rehabilitation Center,Boca Raton,Region 9,Palm Beach,26.3607273,-80.1024455,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bonifay Nursing And Rehab Center,Bonifay Nursing And Rehab Center,Bonifay,Region 2,Holmes,30.7817976,-85.6839311,_____,_____,_____,_____,_____,_____,_____,_____,_____
Boulevard Rehabilitation Center,Boulevard Rehabilitation Center,Boynton Beach,Region 9,Palm Beach,26.5031808,-80.0707886,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bradenton Health Care,Bradenton Health Care,Bradenton,Region 6,Manatee,27.462173,-82.62478,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brandon Center For Nursing & Rehabilitation,Brandon Center For Nursing & Rehabilitation,Brandon,Region 6,Hillsborough,27.93354,-82.3076,_____,_____,_____,_____,_____,_____,_____,_____,_____
Breeze Care Center,Breeze Care Center,Sarasota,Region 8,Sarasota,27.319707,-82.531379,_____,_____,_____,_____,_____,_____,_____,_____,_____
Breezy Hills Rehab And Care Center,Breezy Hills Rehab And Care Center,Lakeland,Region 6,Polk,28.1092682,-81.9464064,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bridgeview Center,Bridgeview Center,Ormond Beach,Region 4,Volusia,29.2753602,-81.0546463,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Bridgewalk On Harden Health And Rehabilitation, Llc",Bridgewalk On Harden Health And Rehabilitation,Lakeland,Region 6,Polk,28.0087085,-81.9734536,_____,_____,_____,_____,_____,_____,_____,_____,_____
Bridgewater Park Health & Rehabilitation Center,Bridgewater Park Health & Rehabilitation Center,Ocala,Region 3,Marion,29.0874394,-82.2554302,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brookdale Palmer Ranch Snf,Brookdale Palmer Ranch Snf,Sarasota,Region 8,Sarasota,27.2467525,-82.4678543,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brooksville Healthcare Center,Brooksville Healthcare Center,Brooksville,Region 3,Hernando,28.5468604,-82.402702,_____,_____,_____,_____,_____,_____,_____,_____,_____
Broward Nursing & Rehabilitation Center,Broward Nursing & Rehabilitation Center,Fort Lauderdale,Region 10,Broward,26.1050295,-80.1423834,_____,_____,_____,_____,_____,_____,_____,_____,_____
Brynwood Health And Rehabilitation Center,Brynwood Health And Rehabilitation Center,Monticello,Region 2,Jefferson,30.5239601,-83.8739395,_____,_____,_____,_____,_____,_____,_____,_____,_____
Buffalo Crossings Healthcare & Rehabilitation Center,Buffalo Crossings Healthcare & Rehabilitation Center,The Villages,Region 3,Sumter,28.9290865,-82.0257578,_____,_____,_____,_____,_____,_____,_____,_____,_____
Canterbury Towers Inc,Canterbury Towers Inc,Tampa,Region 6,Hillsborough,27.9111047,-82.4912671,_____,_____,_____,_____,_____,_____,_____,_____,_____
Carrington Place Of St Pete,Carrington Place Of St Pete,Saint Petersburg,Region 5,Pinellas,27.868201,-82.6432141,_____,_____,_____,_____,_____,_____,_____,_____,_____
Carrollwood Care Center,Carrollwood Care Center,Tampa,Region 6,Hillsborough,28.0879705,-82.543042,_____,_____,_____,_____,_____,_____,_____,_____,_____
Casa Mora Rehabilitation And Extended Care,Casa Mora Rehabilitation And Extended Care,Bradenton,Region 6,Manatee,27.4798771,-82.6210177,_____,_____,_____,_____,_____,_____,_____,_____,_____
Central Park Healthcare And Rehabilitation Center,Central Park Healthcare And Rehabilitation Center,Brandon,Region 6,Hillsborough,27.927801,-82.2952,_____,_____,_____,_____,_____,_____,_____,_____,_____
Centre Pointe Health And Rehab Center,Centre Pointe Health And Rehab Center,Tallahassee,Region 2,Leon,30.4754158,-84.2405617,_____,_____,_____,_____,_____,_____,_____,_____,_____
Charlotte Bay Rehab And Care Center,Charlotte Bay Rehab And Care Center,Port Charlotte,Region 8,Charlotte,26.970819,-82.0786768,_____,_____,_____,_____,_____,_____,_____,_____,_____
Charming Lakes Rehab,Charming Lakes Rehab,Lakeland,Region 6,Polk,28.070929,-81.9453507,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Chateau At Moorings Park, The",Chateau At Moorings Park,Naples,Region 8,Collier,26.202624,-81.791125,_____,_____,_____,_____,_____,_____,_____,_____,_____
Chatham Glen Healthcare And Rehabilitation Center,Chatham Glen Healthcare And Rehabilitation Center,The Villages,Region 3,Marion,28.9807618,-82.0299846,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Chatsworth At Pga National, Llc",Chatsworth At Pga National,Palm Beach Gardens,Region 9,Palm Beach,26.810226,-80.1354669,_____,_____,_____,_____,_____,_____,_____,_____,_____
Chautauqua Springs Health Center,Chautauqua Springs Health Center,Defuniak Springs,Region 1,Walton,30.7095489,-86.1072158,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Children'S Comprehensive Care Center, Inc.","Children'S Comprehensive Care Center, Inc.",Pompano Beach,Region 10,Broward,26.231523,-80.1075899,_____,_____,_____,_____,_____,_____,_____,_____,_____
Chipola Health And Rehabilitation Center,Chipola Health And Rehabilitation Center,Marianna,Region 2,Jackson,30.7859341,-85.2377176,_____,_____,_____,_____,_____,_____,_____,_____,_____
Citrus Health And Rehabilitation Center,Citrus Health And Rehabilitation Center,Inverness,Region 3,Citrus,28.8308063,-82.3384658,_____,_____,_____,_____,_____,_____,_____,_____,_____
Claridge House Nursing And Rehabilitation Center,Claridge House Nursing And Rehabilitation Center,North Miami,Region 11,Miami-Dade,25.9033845,-80.1931295,_____,_____,_____,_____,_____,_____,_____,_____,_____
Clermont Health And Rehabilitation Center,Clermont Health And Rehabilitation Center,Clermont,Region 3,Lake,28.5464121,-81.7547677,_____,_____,_____,_____,_____,_____,_____,_____,_____
Clifford Chester Sims State Veterans Nursing Home,Clifford Chester Sims State Veterans Nursing Home,Panama City,Region 2,Bay,30.1759901,-85.5878778,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coastal Health And Rehabilitation Center,Coastal Health And Rehabilitation Center,Daytona Beach,Region 4,Volusia,29.214275,-81.0655249,_____,_____,_____,_____,_____,_____,_____,_____,_____
Colonial Lakes Health Care,Colonial Lakes Health Care,Winter Garden,Region 7,Orange,28.549976,-81.61148,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Colonial Skilled Nursing Facility, Llc",Colonial Skilled Nursing Facility,West Palm Beach,Region 9,Palm Beach,26.7357242,-80.0889806,_____,_____,_____,_____,_____,_____,_____,_____,_____
Commons At Orlando Lutheran Towers,Commons At Orlando Lutheran Towers,Orlando,Region 7,Orange,28.5400828,-81.3738082,_____,_____,_____,_____,_____,_____,_____,_____,_____
Community Health And Rehabilitation Center,Community Health And Rehabilitation Center,Panama City,Region 2,Bay,30.2141996,-85.6086312,_____,_____,_____,_____,_____,_____,_____,_____,_____
Concordia Manor,Concordia Manor,Saint Petersburg,Region 5,Pinellas,27.7851194,-82.6379995,_____,_____,_____,_____,_____,_____,_____,_____,_____
Concordia Village Of Tampa,Concordia Village Of Tampa,Tampa,Region 6,Hillsborough,28.0701391,-82.4164031,_____,_____,_____,_____,_____,_____,_____,_____,_____
Conway Lakes Health & Rehabilitation Center,Conway Lakes Health & Rehabilitation Center,Orlando,Region 7,Orange,28.5251551,-81.3213976,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coquina Center,Coquina Center,Ormond Beach,Region 4,Volusia,29.2851109,-81.077406,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Coral Bay At Pensacola, Llc",Coral Bay At Pensacola,Pensacola,Region 1,Escambia,30.4143537,-87.2243608,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coral Bay Healthcare And Rehabilitation,Coral Bay Healthcare And Rehabilitation,West Palm Beach,Region 9,Palm Beach,26.634642,-80.12182,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coral Gables Nursing And Rehabilitation Center,Coral Gables Nursing And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.7623189,-80.3096111,_____,_____,_____,_____,_____,_____,_____,_____,_____
Coral Trace Health Care,Coral Trace Health Care,Cape Coral,Region 8,Lee,26.64706,-81.97501,_____,_____,_____,_____,_____,_____,_____,_____,_____
Countryside Rehab And Healthcare Center,Countryside Rehab And Healthcare Center,Palm Harbor,Region 5,Pinellas,28.056837,-82.71273,_____,_____,_____,_____,_____,_____,_____,_____,_____
Courtyards Of Orlando Care Center,Courtyards Of Orlando Care Center,Orlando,Region 7,Orange,28.5424973,-81.3795088,_____,_____,_____,_____,_____,_____,_____,_____,_____
Covenant Village Care Center,Covenant Village Care Center,Plantation,Region 10,Broward,26.1221511,-80.2682968,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Crestview Rehabilitation Center, Llc",Crestview Rehabilitation Center,Crestview,Region 1,Okaloosa,30.764559,-86.5528079,_____,_____,_____,_____,_____,_____,_____,_____,_____
Cross City Nursing And Rehabilitation Center,Cross City Nursing And Rehabilitation Center,Cross City,Region 3,Dixie,29.6419326,-83.1240326,_____,_____,_____,_____,_____,_____,_____,_____,_____
Crossings Care Center,Crossings Care Center,Lake Worth,Region 9,Palm Beach,26.6125748,-80.1153426,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Crystal Health And Rehab Center, Llc",Crystal Health And Rehab Center,Tavernier,Region 8,Monroe,24.9818515,-80.5507659,_____,_____,_____,_____,_____,_____,_____,_____,_____
Crystal River Health And Rehabilitation Center,Crystal River Health And Rehabilitation Center,Crystal River,Region 3,Citrus,28.8963405,-82.5727227,_____,_____,_____,_____,_____,_____,_____,_____,_____
Cypress Care Center And Rehab,Cypress Care Center And Rehab,Wildwood,Region 3,Sumter,28.8551211,-82.0358821,_____,_____,_____,_____,_____,_____,_____,_____,_____
Cypress Cove Care Center,Cypress Cove Care Center,Crystal River,Region 3,Citrus,28.8903116,-82.5796385,_____,_____,_____,_____,_____,_____,_____,_____,_____
Cypress Village,Cypress Village,Jacksonville,Region 4,Duval,30.2535022,-81.4556529,_____,_____,_____,_____,_____,_____,_____,_____,_____
Dania Pointe Care Center,Dania Pointe Care Center,Dania Beach,Region 10,Broward,26.0536775,-80.1598428,_____,_____,_____,_____,_____,_____,_____,_____,_____
Darcy Hall Of Life Care,Darcy Hall Of Life Care,West Palm Beach,Region 9,Palm Beach,26.7116296,-80.0948383,_____,_____,_____,_____,_____,_____,_____,_____,_____
Daytona Beach Health And Rehabilitation Center,Daytona Beach Health And Rehabilitation Center,Daytona Beach,Region 4,Volusia,29.2230669,-81.0517812,_____,_____,_____,_____,_____,_____,_____,_____,_____
De Luna Health And Rehabilitation Center,De Luna Health And Rehabilitation Center,Pensacola,Region 1,Escambia,30.5323797,-87.2836211,_____,_____,_____,_____,_____,_____,_____,_____,_____
Debary Health And Rehabilitation Center,Debary Health And Rehabilitation Center,Debary,Region 4,Volusia,28.8931952,-81.3066069,_____,_____,_____,_____,_____,_____,_____,_____,_____
Delaney Park Health And Rehabilitation Center,Delaney Park Health And Rehabilitation Center,Orlando,Region 7,Orange,28.5298632,-81.3744483,_____,_____,_____,_____,_____,_____,_____,_____,_____
Deltona Health Care,Deltona Health Care,Deltona,Region 4,Volusia,28.917261,-81.22038,_____,_____,_____,_____,_____,_____,_____,_____,_____
Desoto Health And Rehab,Desoto Health And Rehab,Arcadia,Region 8,De Soto,27.2287,-81.849524,_____,_____,_____,_____,_____,_____,_____,_____,_____
Diamond Ridge Health And Rehabilitation Center,Diamond Ridge Health And Rehabilitation Center,Lecanto,Region 3,Citrus,28.9038797,-82.4797145,_____,_____,_____,_____,_____,_____,_____,_____,_____
Dolphin Pointe Health Care Center,Dolphin Pointe Health Care Center,Jacksonville,Region 4,Duval,30.3586655,-81.610957,_____,_____,_____,_____,_____,_____,_____,_____,_____
Douglas Jacobson State Veterans Nursing Home,Douglas Jacobson State Veterans Nursing Home,Port Charlotte,Region 8,Charlotte,27.0269946,-82.0982262,_____,_____,_____,_____,_____,_____,_____,_____,_____
Eagle Lake Nursing And Rehab Care Center,Eagle Lake Nursing And Rehab Care Center,St Petersburg,Region 5,Pinellas,27.7822598,-82.7288126,_____,_____,_____,_____,_____,_____,_____,_____,_____
Eden Springs Nursing And Rehab Center,Eden Springs Nursing And Rehab Center,Crawfordville,Region 2,Wakulla,30.1092317,-84.3808428,_____,_____,_____,_____,_____,_____,_____,_____,_____
Edward J Healey Rehabilitation And Nursing Center,Edward J Healey Rehabilitation And Nursing Center,Riviera Beach,Region 9,Palm Beach,26.782279,-80.1086409,_____,_____,_____,_____,_____,_____,_____,_____,_____
Elevate Care Lake Worth,Elevate Care Lake Worth,Lake Worth,Region 9,Palm Beach,26.6012802,-80.0608506,_____,_____,_____,_____,_____,_____,_____,_____,_____
Emerald Coast Center,Emerald Coast Center,Fort Walton Beach,Region 1,Okaloosa,30.4082932,-86.606065,_____,_____,_____,_____,_____,_____,_____,_____,_____
Emerald Shores Health And Rehabilitation,Emerald Shores Health And Rehabilitation,Callaway,Region 2,Bay,30.159767,-85.59013,_____,_____,_____,_____,_____,_____,_____,_____,_____
Englewood Healthcare And Rehabilitation Center,Englewood Healthcare And Rehabilitation Center,Englewood,Region 8,Charlotte,26.94182,-82.32414,_____,_____,_____,_____,_____,_____,_____,_____,_____
Evans Health Care,Evans Health Care,Fort Myers,Region 8,Lee,26.607925,-81.85818,_____,_____,_____,_____,_____,_____,_____,_____,_____
Excel Care Center,Excel Care Center,Tampa,Region 6,Hillsborough,28.0591536,-82.4277804,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fairway Oaks Center,Fairway Oaks Center,Tampa,Region 6,Hillsborough,28.0734205,-82.4109233,_____,_____,_____,_____,_____,_____,_____,_____,_____
Flagler Health And Rehabilitation Center,Flagler Health And Rehabilitation Center,Bunnell,Region 4,Flagler,29.4700728,-81.2497884,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fleet Landing,Fleet Landing,Atlantic Beach,Region 4,Duval,30.3538087,-81.4105476,_____,_____,_____,_____,_____,_____,_____,_____,_____
Florida Presbyterian Homes Inc,Florida Presbyterian Homes Inc,Lakeland,Region 6,Polk,28.032142,-81.9620644,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fort Myers Rehabilitation And Nursing Center,Fort Myers Rehabilitation And Nursing Center,Fort Myers,Region 8,Lee,26.5684891,-81.8745229,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Fort Walton Rehabilitation Center, Llc",Fort Walton Rehabilitation Center,Fort Walton Beach,Region 1,Okaloosa,30.4623141,-86.6361637,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fountain Manor Health & Rehabilitation Center,Fountain Manor Health & Rehabilitation Center,North Miami,Region 11,Miami-Dade,25.8989725,-80.1914013,_____,_____,_____,_____,_____,_____,_____,_____,_____
Fouraker Hills Rehab And Nursing Center,Fouraker Hills Rehab And Nursing Center,Jacksonville,Region 4,Duval,30.2904176,-81.7823058,_____,_____,_____,_____,_____,_____,_____,_____,_____
Freedom Pointe Health Center,Freedom Pointe Health Center,The Villages,Region 3,Lake,28.951712,-81.9650883,_____,_____,_____,_____,_____,_____,_____,_____,_____
Freedom Square Health Care Center,Freedom Square Health Care Center,Seminole,Region 5,Pinellas,27.8425255,-82.789194,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ft Lauderdale Health And Rehabilitation Center,Ft Lauderdale Health And Rehabilitation Center,Fort Lauderdale,Region 10,Broward,26.170952,-80.1318453,_____,_____,_____,_____,_____,_____,_____,_____,_____
Gainesville Health & Rehabilitation,Gainesville Health & Rehabilitation,Gainesville,Region 3,Alachua,29.6578826,-82.3939895,_____,_____,_____,_____,_____,_____,_____,_____,_____
Garden View Health And Rehabilitation Center,Garden View Health And Rehabilitation Center,Vero Beach,Region 9,Indian River,27.6405104,-80.3924463,_____,_____,_____,_____,_____,_____,_____,_____,_____
Gardens At Terracina Health & Rehabilitation,Gardens At Terracina Health & Rehabilitation,Naples,Region 8,Collier,26.1403353,-81.727835,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Gardens Court, The",Gardens Court,Palm Beach Gardens,Region 9,Palm Beach,26.8459582,-80.0937648,_____,_____,_____,_____,_____,_____,_____,_____,_____
Glades Health Care Center,Glades Health Care Center,Pahokee,Region 9,Palm Beach,26.8212567,-80.6601358,_____,_____,_____,_____,_____,_____,_____,_____,_____
Glades West Rehabilitation And Nursing Center,Glades West Rehabilitation And Nursing Center,Miramar,Region 10,Broward,25.9685584,-80.3584686,_____,_____,_____,_____,_____,_____,_____,_____,_____
Glenridge On Palmer Ranch Inc.,Glenridge On Palmer Ranch Inc.,Sarasota,Region 8,Sarasota,27.247324,-82.4609046,_____,_____,_____,_____,_____,_____,_____,_____,_____
Golfcrest Nursing Center,Golfcrest Nursing Center,Hollywood,Region 10,Broward,26.0078913,-80.1811793,_____,_____,_____,_____,_____,_____,_____,_____,_____
Golfview Nursing Center,Golfview Nursing Center,Saint Petersburg,Region 5,Pinellas,27.7815959,-82.6830305,_____,_____,_____,_____,_____,_____,_____,_____,_____
Good Samaritan Center,Good Samaritan Center,Live Oak,Region 3,Suwannee,30.253746,-83.233258,_____,_____,_____,_____,_____,_____,_____,_____,_____
Good Samaritan Society-Daytona,Good Samaritan Society-Daytona,Daytona Beach,Region 4,Volusia,29.2054557,-81.0210189,_____,_____,_____,_____,_____,_____,_____,_____,_____
Good Samaritan Society-Florida Lutheran,Good Samaritan Society-Florida Lutheran,Deland,Region 4,Volusia,29.0344213,-81.2879589,_____,_____,_____,_____,_____,_____,_____,_____,_____
Good Samaritan Society-Kissimmee Village,Good Samaritan Society-Kissimmee Village,Kissimmee,Region 7,Osceola,28.2585845,-81.4485778,_____,_____,_____,_____,_____,_____,_____,_____,_____
Graceville Health Center,Graceville Health Center,Graceville,Region 2,Jackson,30.9640097,-85.5077103,_____,_____,_____,_____,_____,_____,_____,_____,_____
Grand Boulevard Health And Rehabilitation Center,Grand Boulevard Health And Rehabilitation Center,Miramar Beach,Region 1,Walton,30.379259,-86.309372,_____,_____,_____,_____,_____,_____,_____,_____,_____
Green Cove Springs Rehabilitation And Care Center,Green Cove Springs Rehabilitation And Care Center,Green Cove Springs,Region 4,Clay,29.987556,-81.683914,_____,_____,_____,_____,_____,_____,_____,_____,_____
Groves Center,Groves Center,Lake Wales,Region 6,Polk,27.8926829,-81.5649992,_____,_____,_____,_____,_____,_____,_____,_____,_____
Guardian Care Nursing & Rehabilitation Center,Guardian Care Nursing & Rehabilitation Center,Orlando,Region 7,Orange,28.5393041,-81.4147765,_____,_____,_____,_____,_____,_____,_____,_____,_____
Gulf Coast Village,Gulf Coast Village,Cape Coral,Region 8,Lee,26.6283265,-81.9723201,_____,_____,_____,_____,_____,_____,_____,_____,_____
Habana Health Care Center,Habana Health Care Center,Tampa,Region 6,Hillsborough,27.985392,-82.48998,_____,_____,_____,_____,_____,_____,_____,_____,_____
Haines City Rehabilitation And Nursing Center,Haines City Rehabilitation And Nursing Center,Haines City,Region 6,Polk,28.1002645,-81.6223195,_____,_____,_____,_____,_____,_____,_____,_____,_____
Harbour Health Center,Harbour Health Center,Port Charlotte,Region 8,Charlotte,26.971071,-82.0722571,_____,_____,_____,_____,_____,_____,_____,_____,_____
Harbour'S Edge,Harbour'S Edge,Delray Beach,Region 9,Palm Beach,26.441902,-80.06694,_____,_____,_____,_____,_____,_____,_____,_____,_____
Harmony Health Center,Harmony Health Center,Miami,Region 11,Miami-Dade,25.6862538,-80.354076,_____,_____,_____,_____,_____,_____,_____,_____,_____
Haven Of Our Lady Of Peace,Haven Of Our Lady Of Peace,Pensacola,Region 1,Escambia,30.4680165,-87.1995441,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hawthorne Center For Rehabilitation And Healing Of Ocala,Hawthorne Center For Rehabilitation And Healing Of Ocala,Ocala,Region 3,Marion,29.147359,-82.176014,_____,_____,_____,_____,_____,_____,_____,_____,_____
Health And Rehabilitation Centre At Dolphins View,Health And Rehabilitation Centre At Dolphins View,South Pasadena,Region 5,Pinellas,27.7508,-82.73847,_____,_____,_____,_____,_____,_____,_____,_____,_____
Health Center At Brentwood,Health Center At Brentwood,Lecanto,Region 3,Citrus,28.904322,-82.46672,_____,_____,_____,_____,_____,_____,_____,_____,_____
Health Center At Sinai Residences,Health Center At Sinai Residences,Boca Raton,Region 9,Palm Beach,26.3629,-80.1921038,_____,_____,_____,_____,_____,_____,_____,_____,_____
Health Central Park,Health Central Park,Winter Garden,Region 7,Orange,28.5724971,-81.5818406,_____,_____,_____,_____,_____,_____,_____,_____,_____
Healthcare Center Of Waterford,Healthcare Center Of Waterford,Hialeah Gardens,Region 11,Miami-Dade,25.8635318,-80.333778,_____,_____,_____,_____,_____,_____,_____,_____,_____
Healthpark Care Center,Healthpark Care Center,Fort Myers,Region 8,Lee,26.5103831,-81.9119972,_____,_____,_____,_____,_____,_____,_____,_____,_____
Heritage Healthcare Center At Tallahassee,Heritage Healthcare Center At Tallahassee,Tallahassee,Region 2,Leon,30.473015,-84.22729,_____,_____,_____,_____,_____,_____,_____,_____,_____
Heritage Park Nursing Center,Heritage Park Nursing Center,Bradenton,Region 6,Manatee,27.4785559,-82.6209576,_____,_____,_____,_____,_____,_____,_____,_____,_____
Heron Pointe Health And Rehabilitation,Heron Pointe Health And Rehabilitation,Brooksville,Region 3,Hernando,28.576633,-82.37795,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hialeah Shores Nursing And Rehab Center,Hialeah Shores Nursing And Rehab Center,Miami,Region 11,Miami-Dade,25.8540196,-80.2495636,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hidden Lakes Senior Living Community,Hidden Lakes Senior Living Community,Vero Beach,Region 9,Indian River,27.6543711,-80.3919998,_____,_____,_____,_____,_____,_____,_____,_____,_____
Highland Pines Rehabilitation Center,Highland Pines Rehabilitation Center,Clearwater,Region 5,Pinellas,27.9536945,-82.7745725,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Home Association, The",Home Association,Tampa,Region 6,Hillsborough,27.9708779,-82.4467617,_____,_____,_____,_____,_____,_____,_____,_____,_____
Homestead Manor A Palace Community,Homestead Manor A Palace Community,Homestead,Region 11,Miami-Dade,25.4830114,-80.4801318,_____,_____,_____,_____,_____,_____,_____,_____,_____
Hunters Creek Nursing And Rehab Center,Hunters Creek Nursing And Rehab Center,Orlando,Region 7,Orange,28.3642692,-81.4204061,_____,_____,_____,_____,_____,_____,_____,_____,_____
Indian River Center,Indian River Center,West Melbourne,Region 7,Brevard,28.0937021,-80.6763088,_____,_____,_____,_____,_____,_____,_____,_____,_____
Indigo Manor,Indigo Manor,Daytona Beach,Region 4,Volusia,29.201205,-81.086046,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Inn At Freedom Village, The",Inn At Freedom Village,Bradenton,Region 6,Manatee,27.4818265,-82.6254321,_____,_____,_____,_____,_____,_____,_____,_____,_____
Inn At Sarasota Bay Club,Inn At Sarasota Bay Club,Sarasota,Region 8,Sarasota,27.3497994,-82.5475335,_____,_____,_____,_____,_____,_____,_____,_____,_____
Island Health And Rehabilitation Center,Island Health And Rehabilitation Center,Merritt Is,Region 7,Brevard,28.3831699,-80.7059644,_____,_____,_____,_____,_____,_____,_____,_____,_____
Island Lake Center,Island Lake Center,Longwood,Region 7,Seminole,28.6963472,-81.3650714,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jackson Gardens Health And Rehabilitation Center,Jackson Gardens Health And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.793391,-80.2085663,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jackson Memorial Long Term Care Center,Jackson Memorial Long Term Care Center,Miami,Region 11,Miami-Dade,25.7994591,-80.2318898,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jackson Memorial Perdue Medical Center,Jackson Memorial Perdue Medical Center,Cutler Ridge,Region 11,Miami-Dade,25.586602,-80.326112,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jacksonville Center For Rehabilitation And Healthcare,Jacksonville Center For Rehabilitation And Healthcare,Jacksonville,Region 4,Duval,30.3709157,-81.6840106,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jacksonville Nursing And Rehab Center,Jacksonville Nursing And Rehab Center,Jacksonville,Region 4,Duval,30.437779,-81.7144735,_____,_____,_____,_____,_____,_____,_____,_____,_____
Jacksonville Rehabilitation And Nursing Center,Jacksonville Rehabilitation And Nursing Center,Jacksonville,Region 4,Duval,30.2802229,-81.7450538,_____,_____,_____,_____,_____,_____,_____,_____,_____
John Knox Village Of Pompano Beach,John Knox Village Of Pompano Beach,Pompano Beach,Region 10,Broward,26.2262306,-80.1303868,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Joseph L. Morse Health Center, Inc., The","Joseph L. Morse Health Center, Inc.",West Palm Bch,Region 9,Palm Beach,26.7461671,-80.1160594,_____,_____,_____,_____,_____,_____,_____,_____,_____
Kendall Lakes Healthcare And Rehab Center,Kendall Lakes Healthcare And Rehab Center,Miami,Region 11,Miami-Dade,25.7318528,-80.3349318,_____,_____,_____,_____,_____,_____,_____,_____,_____
Kensington Gardens Rehab And Nursing Center,Kensington Gardens Rehab And Nursing Center,Clearwater,Region 5,Pinellas,27.9741767,-82.7519895,_____,_____,_____,_____,_____,_____,_____,_____,_____
Keystone Rehabilitation And Health Center,Keystone Rehabilitation And Health Center,Kissimmee,Region 7,Osceola,28.31868,-81.41507,_____,_____,_____,_____,_____,_____,_____,_____,_____
Kissimmee Nursing & Rehabilitation Center,Kissimmee Nursing & Rehabilitation Center,Kissimmee,Region 7,Osceola,28.3200591,-81.4151278,_____,_____,_____,_____,_____,_____,_____,_____,_____
